time,score,people
2017,7.0,115781
2017,7.3,87641
2016,7.5,12340
1998,9.2,637363
2017,7.0,8239
1994,9.4,810496
2010,8.9,529141
2017,4.3,22423
2017,5.6,40432
2017,8.3,300457
2017,6.4,10532
2016,8.5,365731
2017,5.3,51022
2017,7.2,140791
2017,9.2,475557
1993,9.5,605586
2017,5.1,17310
2017,8.5,10399
1997,9.5,403732
1995,8.8,362652
2017,7.2,25761
2017,8.1,18555
1990,8.7,469194
2017,5.5,14055
1953,8.9,377584
2004,8.5,265178
2017,5.0,7739
2017,4.1,6751
1995,8.7,208843
2013,8.6,181440
2008,9.3,488980
2005,8.4,283834
2014,8.9,385350
1994,8.6,312979
2017,3.0,10947
2001,8.7,469483
1940,9.2,265748
2003,8.2,217997
2012,8.2,426998
2016,7.6,239215
2010,8.0,315105
2017,6.9,103185
2015,8.7,223701
2015,9.6,136143
2000,8.7,330897
2000,8.5,230021
2017,7.5,10270
2004,8.7,189493
2004,8.8,336969
2017,9.1,4967
1999,8.5,287486
2006,8.6,304023
2007,8.1,230088
2007,8.3,274296
1997,8.8,233108
2012,7.3,257684
2003,8.1,303794
2016,7.5,86554
2008,8.7,379875
2017,6.5,116289
2003,8.5,295673
1994,9.4,692988
2015,7.8,268082
2011,7.8,271881
2017,6.6,25849
2009,8.9,486921
2014,8.7,330664
2009,8.0,298519
2011,8.6,233227
2017,6.4,83344
2016,5.3,151354
2014,7.3,40853
2017,5.3,3957
2012,8.1,481921
2009,7.7,264467
2016,8.6,132338
2016,6.3,69254
2011,9.1,657229
2013,8.7,105111
2014,8.3,212055
2016,7.9,98225
2015,7.6,1200
2016,9.5,26278
2015,8.5,152779
2009,8.5,266395
1993,8.4,203303
2015,8.3,163061
2016,8.7,49665
1997,8.0,83316
1995,8.8,159021
2002,8.9,296663
2007,7.6,239414
2016,7.7,8823
2013,8.1,108327
2004,9.0,25790
2013,7.7,253252
2011,8.7,144600
2004,8.4,135444
2015,7.4,335919
2017,4.8,18928
1995,8.5,91129
1999,7.9,180425
2005,8.1,139606
2002,8.3,259960
1992,8.1,88263
2016,8.2,120602
1940,8.8,123913
2007,8.3,193095
2017,6.6,3351
2007,8.2,136255
2006,8.9,268958
2017,7.0,9442
2004,7.9,191034
2014,8.6,80258
2006,8.6,176287
2016,7.4,87607
2016,7.6,83453
2017,5.4,1482
2017,7.0,846
2009,7.3,264845
1943,8.6,117041
2013,8.3,95505
2016,5.7,49860
2015,8.1,270224
2016,8.3,47694
2001,8.1,253653
2017,3.7,987
2016,8.3,103988
1992,8.9,313028
2016,7.4,356338
2017,7.4,3335
2011,7.3,369321
1989,8.2,84276
2008,8.0,51576
1990,8.5,166759
2005,8.1,204338
2016,8.2,44971
2016,7.7,1101
2016,6.8,384692
2015,5.6,7316
1965,8.9,224691
2006,8.0,174533
1988,8.3,123307
2017,6.8,268934
1997,8.4,165709
2017,4.4,257
2008,7.8,157577
2016,6.9,30550
2014,7.5,35416
2017,7.6,3011
1986,9.0,324375
2012,8.9,127175
2009,8.5,380764
2004,7.8,146328
2016,8.4,31720
2016,8.5,27588
2016,6.5,145955
2015,7.2,175269
2010,6.6,179917
1994,8.6,237105
2016,6.5,218777
2006,8.2,89663
2015,8.1,107738
2015,6.5,11195
2011,9.0,50957
2016,4.0,138805
2017,4.9,4953
2016,8.2,8728
2016,7.2,8970
1994,9.0,186023
2005,8.6,216350
1980,8.0,46428
2013,8.3,138373
1988,9.1,303991
2016,7.9,24191
2013,7.3,69220
2017,7.8,989
1990,8.2,133512
2016,8.0,81690
2003,7.7,127709
2008,7.7,159536
2015,7.5,40155
2017,,
2017,4.1,2233
2013,8.7,51203
2011,8.1,73839
2011,8.2,165808
2009,7.7,166099
2008,6.5,237256
2017,5.0,1963
2014,3.9,705
1993,8.5,59175
2004,7.8,110379
2017,4.1,2401
1979,8.3,17384
2007,8.7,74062
2001,8.0,113334
2014,8.1,1050
2014,5.8,151652
2009,7.5,197531
2015,5.4,115393
2005,8.1,86015
2007,8.2,148788
2005,7.0,93096
2007,8.3,209715
2005,7.6,241260
1961,8.1,115638
2006,7.8,164809
2004,7.4,119211
2016,5.1,66477
2013,7.8,80743
1991,9.4,77984
2015,7.4,65909
1994,8.8,143920
1995,8.1,65670
2004,8.0,87157
2015,6.4,36279
2002,8.5,86302
2017,9.1,336
2017,5.8,22690
2014,6.6,323673
2017,6.5,7747
1992,8.2,33988
2017,9.4,5205
2016,6.5,2277
2017,7.7,131766
2008,7.1,246782
1998,8.1,109605
1993,7.9,158424
2010,7.1,153710
2017,7.7,2036
2016,7.3,97521
2014,7.4,15914
1952,8.9,88802
2000,8.0,37853
2001,7.8,136440
2005,7.6,147135
2016,6.1,71022
2005,8.6,52173
2015,7.7,47259
2017,6.4,773
2008,8.3,123469
2017,7.3,7452
2007,7.0,152356
1993,8.3,295770
2013,8.9,63271
1990,7.9,85203
2017,7.3,2388
2013,7.9,40569
2010,8.2,55118
2017,8.3,1810
2016,8.8,10741
2014,7.1,18641
2013,8.3,57049
2000,7.8,88350
2016,7.1,41517
2013,7.8,96035
2016,8.7,16262
2014,7.7,170793
2005,6.2,114693
2017,6.7,1638
2014,5.3,140099
2017,8.7,4840
1971,8.6,32578
1988,7.6,73117
2014,7.0,240569
2013,4.7,237125
1996,8.3,56245
2004,8.0,94602
2016,4.0,68586
1993,8.1,65501
2017,6.6,3776
2015,8.2,62126
1993,8.0,63519
2007,7.9,169124
2017,7.2,156315
2009,8.7,87374
2014,8.4,33598
2017,6.5,745
2015,8.7,92848
2000,8.0,81811
2017,8.4,691
2001,7.9,84331
2016,7.7,43705
1977,8.5,42238
2014,8.5,49325
2015,5.1,4679
2016,7.1,31880
2014,9.2,42992
2013,5.7,118721
2013,8.6,72741
2011,8.0,38720
1962,7.7,40538
2008,7.6,107793
2014,7.8,49690
1996,7.2,43660
2012,7.9,117268
2010,7.0,126196
2009,8.0,107107
2016,6.4,20793
2016,6.4,42164
2017,9.1,67319
2011,8.3,383774
2009,7.5,81997
2015,7.6,979
2014,4.3,125720
2005,7.5,62304
2016,5.4,48902
2009,6.5,147840
2014,8.3,286731
2017,5.7,3359
2012,7.7,135692
2015,6.8,114808
2013,5.8,99653
2017,7.3,833
2009,7.4,110273
1991,8.7,133503
2013,6.7,67850
2015,8.2,31869
1987,8.4,43810
2001,7.5,129458
2017,8.6,115141
2016,8.1,5384
1967,8.2,22041
2003,8.2,53868
1996,9.1,39647
2005,8.4,83345
2012,6.5,60364
2016,8.3,6049
2014,8.1,62211
2014,6.3,28836
2014,7.7,1899
1999,8.2,59571
2010,8.6,294037
1967,7.9,109852
1934,8.7,22972
2015,7.7,268641
2007,8.1,107537
2007,8.1,48749
2007,7.9,312317
2011,8.9,120552
2010,6.4,102423
1987,8.7,23911
2012,8.2,69083
1990,8.0,26761
2006,7.6,101564
2013,7.1,340624
2015,8.4,6887
2013,5.6,123049
2017,8.1,562
1995,8.8,288463
2005,8.5,2717
2009,8.4,64906
2016,7.5,147194
2016,8.0,90111
2017,7.4,27742
2015,4.9,108856
2014,8.3,66142
2014,8.4,10476
2015,8.8,34831
2016,7.6,13214
2017,9.1,16993
1995,8.7,259278
2011,7.7,62559
2014,7.1,158737
1998,7.9,115322
2016,7.6,642
2016,7.2,56494
2012,8.7,205094
2014,5.0,171111
2016,5.0,19811
2010,6.5,222456
2012,9.1,56253
2010,7.7,64515
2016,7.6,13200
2014,7.1,94558
2015,6.5,46147
2011,7.6,35688
1993,8.8,129125
2007,7.6,46869
2001,7.3,32478
2015,7.5,57898
2011,6.8,215817
2014,8.9,15610
1993,9.0,76201
2017,7.1,6462
2015,3.6,90368
1993,7.8,27661
1992,7.7,94603
2004,8.7,367700
2012,7.8,8429
2010,8.1,112047
2004,8.1,135654
2015,4.3,40296
2017,4.0,19414
2011,8.1,85266
2012,6.9,171694
2016,8.2,6528
2017,4.4,8664
2005,8.3,57411
1990,7.7,64025
2012,7.5,76206
2013,7.4,58979
2013,8.3,136721
2013,8.7,29106
2017,3.8,2634
2016,7.7,7980
2017,5.9,696
2006,8.3,118009
2012,8.4,169609
2013,4.9,133291
2012,8.5,46807
2012,7.3,211380
1987,8.5,34725
2002,6.7,120060
2017,,
2017,7.4,5349
2014,6.1,113188
2003,7.7,72809
1994,8.4,49934
2002,8.6,52453
1998,7.8,70579
1994,8.3,43360
2003,8.1,30255
2014,8.8,19000
2016,7.4,47827
1995,8.1,34715
2001,6.7,97079
2013,8.5,57972
2001,7.5,169478
2015,4.6,84992
2017,3.6,1685
1998,8.2,73599
2016,5.3,12370
2000,7.8,58761
2005,7.5,85480
2015,5.6,49595
2013,8.4,81652
2015,7.5,194010
2017,,
1994,8.7,56367
1999,8.4,172711
2016,7.3,670
2014,8.0,26114
1995,9.2,77884
2009,7.4,38212
2008,8.6,13323
2016,7.3,379
2007,7.5,63694
2006,7.1,101262
2006,7.8,75781
2005,7.5,85575
2015,8.6,36037
2017,6.3,6802
2009,7.6,64691
2012,8.2,39679
2012,6.2,80540
2017,7.4,1654
1988,8.1,46138
2016,4.7,43228
2009,7.1,106279
2011,7.6,18416
2005,8.9,48098
